parametri;verjetnosti
5 kriz 6 pik / / 5 pik 6 karo 6 kriz 2;97.8 0 0 0 0 0 0 93.56 4.24 0 0
"K karo K kriz / / / / / 1";"82.1 0 27.98 31.9 10.88 0.82 1.56 8.1 0.86 0 0"
"K karo K kriz / / J pik K srce Q kriz 3";"78.36 0 0 0 41.5 2.06 0 30.38 4.42 0 0"
"4 pik K kriz / / / / / 5";"16.94 0.04 4.46 5.92 2.56 1.16 0.86 1.68 0.26 0 0"
"4 pik K kriz / / 10 srce 9 karo J srce 5";"14.46 0.02 1.22 0.5 0.2 12.52 0 0 0 0 0"
"4 pik K kriz / 10 srce 3 karo 9 karo J srce 5";"9.18 0.08 1.78 0 0 7.32 0 0 0 0 0"
"4 pik K kriz 10 srce 3 karo 9 karo J karo J srce 5";"1.14 0 1.14 0 0 0 0 0 0 0 0"
"9 karo Q srce / / / / / 2";"43.46 1.46 16.7 13.62 3.82 4.04 1.5 2.16 0.16 0 0"
"9 karo Q srce / / 10 kriz 3 srce 4 kriz 2";"27.02 2.08 17.14 4.52 0.96 2.32 0 0 0 0 0"
"9 karo Q srce / 10 kriz 3 srce 4 kriz 8 kriz 2";"20.4 2.12 12.1 0 0 6.18 0 0 0 0 0"
"9 karo Q srce 10 kriz 3 srce 4 kriz 5 srce 8 kriz 2";"2.42 2.42 0 0 0 0 0 0 0 0 0"
"3 kriz 5 kriz / / / / / 3";"25.44 0.32 4.44 7.16 2.62 3.76 5.3 1.68 0.12 0.04 0"
"3 kriz 5 kriz / / 6 kriz 9 srce J pik 3";"15.28 0.58 4.7 2.28 0.88 3.14 3.7 0 0 0 0"
"3 kriz 5 kriz / 6 kriz 9 srce J pik K karo 3";"5.22 1.06 4.16 0 0 0 0 0 0 0 0"
"3 kriz 5 kriz 6 kriz 8 srce 9 srce J pik K karo 3";"1.28 1.28 0 0 0 0 0 0 0 0 0"
"J srce Q srce / / / / / 1";"65.56 4 25.62 17.02 3.38 6.72 6.34 2.22 0.12 0.08 0.06"
"J srce Q srce / / 5 kriz 8 srce J pik 1";"84.14 0 37.5 30.98 7.02 2.06 3.9 2.42 0.14 0.12 0"
"J srce Q srce / 5 kriz 6 kriz 8 srce J pik 1";"79.04 0 51.86 23.22 3.96 0 0 0 0 0 0"
"J srce Q srce 2 pik 5 kriz 6 kriz 8 srce J pik 1";"84.1 0 84.1 0 0 0 0 0 0 0 0"
"4 srce A srce / / / / / 1";"61.8 6.1 24.36 16.66 3.78 1.46 6.88 2.5 0.06 0 0"
"4 srce A srce / / 10 srce 7 pik 7 srce 1";"71.36 0 14.22 20.24 2.54 0 31.64 2.62 0.1 0 0"
"4 srce A srce / 10 srce 4 kriz 7 pik 7 srce 1";"74.76 0 0 48.06 0 0 19.48 7.22 0 0 0"
"4 srce A srce 10 srce 4 kriz 7 pik 7 srce 9 srce 1";"96.14 0 0 0 0 0 96.14 0 0 0 0"
"J kriz K kriz / / A kriz J pik Q kriz 6";"54.38 0 1.88 4 3.28 9.2 30.2 1.36 0.08 0 4.38"
"J kriz K kriz / A kriz J pik K srce Q kriz 6";"45.86 0 0 12.82 0 6.14 16.62 7.78 0 0 2.5"
"J kriz K kriz 10 kriz A kriz J pik K srce Q kriz 6";"100 0 0 0 0 0 0 0 0 0 100"
